vlookup_key,date,loan_id,interest_rate,current_balance,principal_balance,monthly_payment
AATRUE,2025-12-19,AA,0.0430,21562.44,20758.23,216.63
ABTRUE,2025-12-19,AB,0.0530,18833.51,18154.08,194.08
ACTRUE,2025-12-19,AC,0.0528,10903.37,10408.54,114.07
ADTRUE,2025-12-19,AD,0.0628,13758.92,13174.71,147.11
AETRUE,2025-12-19,AE,0.0528,10903.37,10408.54,114.07
AFTRUE,2025-12-19,AF,0.0628,18876.99,18075.46,201.83
AGTRUE,2025-12-19,AG,0.0754,16977.64,16119.49,190.11
AHTRUE,2025-12-19,AH,0.0654,7545.12,7516.86,121.77
ALTRUE,2025-12-19,AL,0.0705,22247.50,20500.00,252.55
